key_or_source_string,source_files,english_value,russian_value,japanese_value,market_adaptation
roi,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/InventoryAnalyticsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/VehicleInventoryStats+CoreDataProperties.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/UserGuideView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/Calculators/InventoryMetricsCalculator.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/Calculators/VehicleFinancialsCalculator.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/Inventory/InventoryAnalyticsView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/Components/Inventory/ROIBadge.swift,ROI,ROI,ROI,no
sale_amount,iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift,Sale Amount,Сумма продажи,販売金額,yes
sale_date,iOS Car Dealer Tracker/Ezcar24Business/Views/AddVehicleView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/SupabaseModels.swift,Sale Date,Дата продажи,販売日,yes
sale_details,iOS Car Dealer Tracker/Ezcar24Business/Views/AddVehicleView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddPartSaleView.swift,Sale Details,Детали продажи,販売詳細,yes
sale_price,iOS Car Dealer Tracker/Ezcar24Business/Views/AddVehicleView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleListView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/SupabaseModels.swift,Sale Price,Цена продажи,販売価格,yes
sale_price_required_for_sold_vehicles,iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift,Sale price is required for sold vehicles.,Для проданного автомобиля нужна цена продажи.,販売済み車両には販売価格が必要です。,yes
sale_recorded,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift,Sale Recorded Successfully,Продажа записана,販売を記録しました,yes
sales,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/PartSalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/SalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DashboardViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/Vehicle+CoreDataProperties.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/PersistenceController.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/MonthlyReportPreviewView.swift,Sales,Продажи,販売,yes
sales_history,iOS Car Dealer Tracker/Ezcar24Business/Views/SalesListView.swift,Sales History,История продаж,販売履歴,yes
save,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DebtViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/UserViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/PartSalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/AccountTransactionsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/VehicleViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/SalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DashboardViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/FinancialAccountsViewModel.swift,Save,Сохранить,保存,no
save_changes_action,iOS Car Dealer Tracker/Ezcar24Business/Views/EditAccountView.swift,Save Changes,Сохранить,変更を保存,no
save_client,iOS Car Dealer Tracker/Ezcar24Business/Views/ClientDetailView.swift,Save Client,Сохранить,顧客を保存,no
save_debt,iOS Car Dealer Tracker/Ezcar24Business/Views/AddDebtView.swift,Save Debt,Сохранить долг,債務を保存,yes
save_expense,iOS Car Dealer Tracker/Ezcar24Business/Views/AddExpenseView.swift,Save Expense,Сохранить расход,経費を保存,yes
save_failed,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/HoldingCostSettingsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift,Save failed,Сохранение не удалось,保存に失敗しました,no
save_order,iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift,Save Order,Сохранить порядок,注文を保存,no
save_template,iOS Car Dealer Tracker/Ezcar24Business/Views/AddExpenseView.swift,Save Template,Сохранить шаблон,テンプレートを保存,yes
saved,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/VehicleViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Auth/SessionStore.swift; iOS Car Dealer Tracker/Ezcar24Business/Utilities/ImageStore.swift; iOS Car Dealer Tracker/Ezcar24Business/Utilities/RegionSettings.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/ExpenseDetailSheet.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddDebtView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift,Saved,Сохранено,保存済み,no
saved_label,iOS Car Dealer Tracker/Ezcar24Business/Utilities/ImageStore.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/ExpenseDetailSheet.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddDebtView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddExpenseView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/CloudSyncManager.swift,Saved,Сохранено,保存済み,no
saving,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/UserViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/VehicleViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/FinancialAccountsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Auth/PasswordResetView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddPartView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddDebtView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift,Saving...,Сохранение...,保存中...,no
saving_label,iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddDebtPaymentView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddExpenseView.swift,Saving...,Сохранение...,保存中...,no
search,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DebtViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/PartsInventoryViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/PartSalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/VehicleViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/SalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/ExpenseViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/ClientViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift,Search,Поиск,検索,no
search_clients_placeholder,iOS Car Dealer Tracker/Ezcar24Business/Views/ClientListView.swift,Search clients...,Поиск клиентов...,顧客を検索...,no
search_expenses_placeholder,iOS Car Dealer Tracker/Ezcar24Business/Views/ExpenseListView.swift,Search expenses,Поиск расходов,経費を検索,yes
search_name_or_notes,iOS Car Dealer Tracker/Ezcar24Business/Views/SalesListView.swift,Search name or notes...,Поиск по имени или заметкам...,名前またはメモを検索...,no
search_placeholder_text,iOS Car Dealer Tracker/Ezcar24Business/Views/GlobalSearchView.swift,"Search vehicles, clients, expenses...","Поиск авто, клиентов, расходов...",車両、顧客、経費を検索...,yes
search_vehicle_or_buyer,catalog/manual,Search vehicle or buyer...,Поиск авто или покупателя...,車両または購入者を検索...,yes
search_vehicle_placeholder,iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleListView.swift,Search vehicles...,Поиск авто...,車両を検索...,yes
security,iOS Car Dealer Tracker/Ezcar24Business/Views/EditProfileView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/UserGuideView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift,Security,Безопасность,セキュリティ,no
see_all,iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift,See All,Смотреть все,すべて表示,no
select_account,iOS Car Dealer Tracker/Ezcar24Business/Views/AddPartView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/ReceivePartStockView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleListView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddExpenseView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddPartSaleView.swift,Select Account,Выберите счёт,口座を選択,yes
select_client,iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddPartSaleView.swift,Select Client,Выбрать клиента,顧客を選択,no
select_currency,iOS Car Dealer Tracker/Ezcar24Business/Views/RegionSelectionView.swift,Select Currency,Выберите валюту,通貨を選択,no
select_language,catalog/manual,Select Language,Выберите язык,言語を選択,no
select_region,catalog/manual,Select Region,Выберите регион,地域を選択,no
select_user,iOS Car Dealer Tracker/Ezcar24Business/Views/AddExpenseView.swift,Select User,Выберите пользователя,ユーザーを選択,no
select_vehicle,iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleSelectionSheet.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/ClientDetailView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddExpenseView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/Components/VehicleSelectionSheet.swift,Select Vehicle,Выберите авто,車両を選択,yes
select_your_currency,iOS Car Dealer Tracker/Ezcar24Business/Views/RegionSelectionView.swift,Select your currency,Выберите вашу валюту,通貨を選択してください,no
select_your_region,catalog/manual,Select your region to set currency and units,Выберите регион для настройки валюты и единиц измерения,通貨と単位を設定する地域を選択してください,no
selected,iOS Car Dealer Tracker/Ezcar24Business/Ezcar24BusinessApp.swift; iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/PartsInventoryViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/InventoryAnalyticsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/VehicleViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DashboardViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/ExpenseViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Utilities/RegionSettings.swift,Selected,Выбрано,選択済み,no
set_as_cover,iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift,Set as cover,Сделать обложкой,カバーに設定,no
settings,iOS Car Dealer Tracker/Ezcar24Business/Ezcar24BusinessApp.swift; iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/InventoryAnalyticsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/VehicleViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/SalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DashboardViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/HoldingCostSettingsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/ExpenseViewModel.swift,Settings,Настройки,設定,no
sign_in,iOS Car Dealer Tracker/Ezcar24Business/Auth/SessionStore.swift; iOS Car Dealer Tracker/Ezcar24Business/Auth/LoginView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/PaywallView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/DataHealthView.swift,Sign In,Войти,サインイン,no
sign_in_enable_sync,catalog/manual,Sign In / Enable Cloud Sync,Войти / Включить синхронизацию,サインイン / クラウド同期を有効化,no
sign_in_to_sync,iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift,Sign in to sync.,"Войдите, чтобы синхронизировать данные.",同期するにはサインインしてください。,no
sign_out,iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift,Sign Out,Выйти,サインアウト,no
slow,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/InventoryAnalyticsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/UserGuideView.swift,Slow,Медленно,遅い,no
sms,iOS Car Dealer Tracker/Ezcar24Business/Views/ClientListView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/ClientDetailView.swift,SMS,SMS,SMS,no
sold,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/InventoryAnalyticsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/VehicleViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DashboardViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/ClientCRMModels.swift; iOS Car Dealer Tracker/Ezcar24Business/Utilities/ColorTheme.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/MonthlyReportPreviewView.swift,Sold,Продано,販売済み,no
spending_breakdown,iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/Components/DashboardComponents.swift,Spending Breakdown,Структура расходов,支出内訳,no
status,iOS Car Dealer Tracker/Ezcar24Business/Ezcar24BusinessApp.swift; iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/InventoryAnalyticsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/VehicleViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/SalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DashboardViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Auth/SessionStore.swift; iOS Car Dealer Tracker/Ezcar24Business/Auth/AuthGateView.swift,Status,Статус,ステータス,no
status_and_sale_section,iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift,Status & Sale,Статус и Продажа,ステータス・販売,yes
status_label,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/InventoryAnalyticsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/VehicleViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DashboardViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Auth/SessionStore.swift; iOS Car Dealer Tracker/Ezcar24Business/Auth/AuthGateView.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/ClientCRMModels.swift; iOS Car Dealer Tracker/Ezcar24Business/Utilities/ColorTheme.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift,Status,Статус,ステータス,no
status_owned,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/VehicleViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift,Owned,В собственности,在庫保管中,no
status_reserved,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/VehicleViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleListView.swift,Reserved,В гараже,在庫保管中,no
status_sold,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/VehicleViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DashboardViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/MonthlyReportPreviewView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddVehicleView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleListView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/MonthlyReportSnapshotBuilder.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/BackupExportManager.swift,Sold,Продано,販売済み,no
subscription,iOS Car Dealer Tracker/Ezcar24Business/Auth/SessionStore.swift; iOS Car Dealer Tracker/Ezcar24Business/Auth/AuthGateView.swift; iOS Car Dealer Tracker/Ezcar24Business/Auth/LoginView.swift; iOS Car Dealer Tracker/Ezcar24Business/Auth/AppSessionState.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/PaywallView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddVehicleView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleListView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift,Subscription,Подписка,サブスクリプション,no
subscription_active_until,iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift,Active until %@,Активна до %@,%@まで有効,no
subscription_ends_in_days,iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift,Ends in %lld days,Истекает через %lld дн.,残り%lld日,no
subscription_weekly_unavailable,iOS Car Dealer Tracker/Ezcar24Business/Services/SubscriptionManager.swift,Weekly plan is not available yet.,Недельный план пока недоступен.,週額プランはまだ利用できません。,no
support_email_subject,iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift,Feedback: Car Dealer Tracker,Обратная связь: Car Dealer Tracker,フィードバック: Car Dealer Tracker,yes
support_section,iOS Car Dealer Tracker/Ezcar24Business/Models/PersistenceController.swift; iOS Car Dealer Tracker/Ezcar24Business/Utilities/RegionSettings.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/MonthlyReportSupport.swift,Support,Поддержка,サポート,no
sync_failed,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/CloudSyncManager.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/Components/SyncHUDOverlay.swift,Sync failed,Сбой синхронизации,同期に失敗しました,no
sync_now,iOS Car Dealer Tracker/Ezcar24Business/Views/UserGuideView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/CloudSyncManager.swift,Sync Now,Синхронизировать,今すぐ同期,no
synced,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/CloudSyncManager.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/Components/SyncHUDOverlay.swift,Synced,Синхронизировано,同期済み,no
synced_ago,iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift,Synced %@,Синхронизировано %@,同期済み %@,no
synchronizing,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/Components/SyncHUDOverlay.swift,Synchronizing,Синхронизация,同期中,no
syncing,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift; iOS Car Dealer Tracker/Ezcar24Business/Utilities/ImageStore.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/CloudSyncManager.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/Components/SyncHUDOverlay.swift,Syncing...,Синхронизация...,同期中...,no
take_photo,iOS Car Dealer Tracker/Ezcar24Business/Views/AddExpenseView.swift,Take photo,Сделать фото,写真を撮影,no
tap_add_account_kind,iOS Car Dealer Tracker/Ezcar24Business/Views/FinancialAccountsView.swift,Tap the + button to add a %@.,"Нажмите +, чтобы добавить %@.",+ボタンで%@を追加できます。,yes
tap_plus_to_add_client,iOS Car Dealer Tracker/Ezcar24Business/Views/ClientListView.swift,Tap + to add a new client,Нажмите + чтобы добавить клиента,+をタップして新規顧客を追加,no
tap_to_choose_vehicle,iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift,Tap to choose from inventory,Нажмите для выбора из списка,タップして在庫から選択,yes
team_access_customize_hint,iOS Car Dealer Tracker/Ezcar24Business/Views/TeamManagementView.swift,Select what this member can do. Role presets can be customized.,"Выберите, что может делать участник. Шаблон роли можно изменить.",このメンバーができる操作を選択してください。役割プリセットはカスタマイズできます。,no
team_access_reset_role_button,catalog/manual,Reset to Default,Сбросить к умолчанию,既定に戻す,no
team_access_reset_role_defaults,iOS Car Dealer Tracker/Ezcar24Business/Views/TeamManagementView.swift,Reset to role defaults,Сбросить к настройкам роли,役割の既定値に戻す,no
team_access_section_title,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift; iOS Car Dealer Tracker/Ezcar24Business/Auth/SessionStore.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/PaywallView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/ReferralStatsView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddVehicleView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/TeamManagementView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/iPadRootView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift,Access,Доступ,アクセス権,no
team_add_member_title,iOS Car Dealer Tracker/Ezcar24Business/Views/TeamManagementView.swift,Add Member,Добавить участника,メンバーを追加,no
team_details_section_title,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/ClientViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/Client+CoreDataProperties.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddPartView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/ClientListView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/TeamManagementView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/ClientDetailView.swift,Details,Детали,詳細,no
team_generate_access_button,iOS Car Dealer Tracker/Ezcar24Business/Views/TeamManagementView.swift,Generate Access,Сгенерировать доступ,アクセス権を生成,no
team_manage_access,iOS Car Dealer Tracker/Ezcar24Business/Views/TeamManagementView.swift,Manage Access,Управлять доступом,アクセス権を管理,no
team_manage_access_title,iOS Car Dealer Tracker/Ezcar24Business/Views/TeamManagementView.swift,Manage Access,Управление доступом,アクセス権を管理,no
team_manage_permission_denied,iOS Car Dealer Tracker/Ezcar24Business/Views/TeamManagementView.swift,You do not have permission to manage team members.,У вас нет прав на управление командой.,チームメンバーを管理する権限がありません。,no
team_member_pending,iOS Car Dealer Tracker/Ezcar24Business/Auth/SessionStore.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/EditProfileView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/TeamManagementView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/LocalNotificationManager.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/CloudSyncManager.swift,Pending,В ожидании,保留中,no
team_member_section_title,iOS Car Dealer Tracker/Ezcar24Business/Auth/SessionStore.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/TeamManagementView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/UserManagementView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/MonthlyReportSupport.swift,Member,Участник,メンバー,no
team_member_status_active,iOS Car Dealer Tracker/Ezcar24Business/Views/TeamManagementView.swift,Active member,Активный участник,有効なメンバー,no
team_member_status_pending,iOS Car Dealer Tracker/Ezcar24Business/Views/TeamManagementView.swift,Pending invitation,Ожидает приглашение,招待中,no
team_members,iOS Car Dealer Tracker/Ezcar24Business/Views/TeamManagementView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/MonthlyReportSupport.swift,Team Members,Сотрудники,チームメンバー,no
team_role_section_title,iOS Car Dealer Tracker/Ezcar24Business/Auth/SessionStore.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/TeamManagementView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/UserGuideView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/PermissionService.swift,Role,Роль,役割,no
templates,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/ExpenseViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/User+CoreDataProperties.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/Vehicle+CoreDataProperties.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddExpenseView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/SupabaseModels.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/CloudSyncManager.swift,Templates,Шаблоны,テンプレート,yes
terms_of_use,iOS Car Dealer Tracker/Ezcar24Business/Views/PaywallView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/UserGuideView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift,Terms of Use,Условия использования,利用規約,no
theme_dark,iOS Car Dealer Tracker/Ezcar24Business/Utilities/RegionSettings.swift; iOS Car Dealer Tracker/Ezcar24Business/Utilities/ColorTheme.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/ClientListView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift,Dark,Тёмная,ダーク,no
theme_light,iOS Car Dealer Tracker/Ezcar24Business/Utilities/ImageStore.swift; iOS Car Dealer Tracker/Ezcar24Business/Utilities/RegionSettings.swift; iOS Car Dealer Tracker/Ezcar24Business/Utilities/ColorTheme.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/AppReviewManager.swift,Light,Светлая,ライト,no
this_action_cannot_be_undone,iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleListView.swift,This action cannot be undone.,Это действие нельзя отменить.,この操作は元に戻せません。,no
this_month,iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/ClientListView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/ExpenseListView.swift,This Month,Этот месяц,今月,no
this_week,iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/ClientListView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/ExpenseListView.swift,This Week,Эта неделя,今週,no
